fName,lName,country,poll,selectionName,selectionYear,selectionDirector,newName,rating,runtime,genre,language,country
Youssef,Rizkallah,Egypt,critics,"Purple Rose of Cairo, The",1985,Woody Allen,The Purple Rose of Cairo,PG,82,"Comedy,Fantasy,Romance",English,USA
Youssef,Rizkallah,Egypt,critics,Rashomon,1950,Akira Kurosawa,Rashomon,UNRATED,88,"Crime,Drama,Mystery",Japanese,Japan
Youngmee,Hwang,Korea,critics,3-Iron,2004,Kim Ki-Duk,3-Iron,R,88,"Crime,Drama,Romance",Korean,"South Korea,Japan"
Youngmee,Hwang,Korea,critics,Amadeus,1984,Milos Forman,Amadeus,R,160,"Biography,Drama,Music","English,Italian,Latin,German","USA,France"
Youngmee,Hwang,Korea,critics,Doctor Zhivago,1965,David Lean,Doctor Zhivago,PG-13,197,"Drama,Romance,War","English,Russian,French","USA,Italy,UK"
Youngmee,Hwang,Korea,critics,E.T.,1982,Steven Spielberg,E.T.,PG,115,"Family,Sci-Fi",English,USA
Youngmee,Hwang,Korea,critics,Gran Torino,2008,Clint Eastwood,Gran Torino,R,116,Drama,"English,Hmong","USA,Germany"
Youngmee,Hwang,Korea,critics,Rashomon,1950,Akira Kurosawa,Rashomon,UNRATED,88,"Crime,Drama,Mystery",Japanese,Japan
Youngmee,Hwang,Korea,critics,Oldboy,2003,Park Chan-wook,Oldboy,R,120,"Drama,Mystery,Thriller",Korean,South Korea
Youngmee,Hwang,Korea,critics,"Paris, Texas",1984,Wim Wenders,"Paris, Texas",R,147,Drama,English,"West Germany,France,UK"
Youngmee,Hwang,Korea,critics,"Piano, The",1992,Jane Campion,The Piano,R,121,"Drama,Music,Romance","English,British Sign Language,Maori","New Zealand,Australia,France"
Youngmee,Hwang,Korea,critics,Talk to Her,2002,Pedro Almodovar,Talk to Her,R,112,"Drama,Mystery,Romance",Spanish,Spain
Yoshio,Yasui,Japan,critics,Au Hasard Balthazar,1966,Robert Bresson,Au Hasard Balthazar,NOT RATED,95,Drama,"French,Latin","France,Sweden"
Yoshio,Yasui,Japan,critics,Big Time Gambling Boss,1968,Kosaku Yamashita,Big Time Gambling Boss,N/A,95,Action,Japanese,Japan
Yoshio,Yasui,Japan,critics,Children of the Beehive,1948,Shimizu Hiroshi,Children of the Beehive,N/A,86,Drama,Japanese,Japan
Yoshio,Yasui,Japan,critics,Humanity and paper balloons,1937,Yamanaka Sadao,Humanity and paper balloons,N/A,86,Drama,Japanese,Japan
Yoshio,Yasui,Japan,critics,"Long Absence, The",1961,Henri Colpi,The Long Absence,N/A,94,Drama,French,"France,Italy"
Yoshio,Yasui,Japan,critics,Minamata: The Victims and their World,1972,Tsuchimoto Noriaki,Minamata,N/A,105,Documentary,Japanese,Japan
Yoshio,Yasui,Japan,critics,Red Desert,1964,Michelangelo Antonioni,Red Desert,NOT RATED,117,Drama,"Italian,Turkish","Italy,France"
