fName,lName,country,poll,selectionName,selectionYear,selectionDirector,newName,rating,runtime,genre,language,country
Tom,,UK,critics,Blood of the Beasts,1948,Georges Franju,Le sang des betes,N/A,20,"Documentary,Short,Horror",French,France
Tom,,UK,critics,Do The Right Thing,1989,Spike Lee,Do The Right Thing,R,120,Drama,"English,Italian,Spanish",USA
Tom,,UK,critics,Fires Were Started,1943,Humphrey Jennings,Fires Were Started,N/A,63,"Drama,War",English,UK
Tom,,UK,critics,Kes,1969,Ken Loach,Kes,PG-13,110,"Drama,Family,Sport",English,UK
Tom,,UK,critics,Mishima: A Life in Four Chapters,1985,Paul Schrader,Mishima: A Life in Four Chapters,R,121,"Biography,Drama","Japanese,English","USA,Japan"
Tom,,UK,critics,Rabbit's Moon,1950,Kenneth Anger,Rabbit's Moon,N/A,7,"Short,Drama",English,USA
Tom,,UK,critics,Tokyo Story,1953,Ozu Yasujiro,Tokyo Story,NOT RATED,136,Drama,"Japanese,English",Japan
Tom,,UK,critics,"What's Opera, Doc?",1957,Chuck Jones,"What's Opera, Doc?",APPROVED,7,"Animation,Short,Comedy",English,USA
Tom,Gunning,US,critics,Day of Wrath,1943,Carl Theodor Dreyer,Day of Wrath,NOT RATED,110,Drama,Danish,Denmark
Tom,Gunning,US,critics,Intolerance,1916,D.W. Griffith,Intolerance,N/A,11,"Animation,Comedy,Sci-Fi",English,UK
Tom,Gunning,US,critics,Line Describing a Cone 2.0,2011,Anthony McCall,Line Describing a Cone 2.0,N/A,30,Short,N/A,UK
Tom,Gunning,US,critics,Man with a Movie Camera,1929,Dziga Vertov,Man with a Movie Camera,NOT RATED,68,Documentary,N/A,Soviet Union
Tom,Gunning,US,critics,Meshes of the Afternoon,1943,Maya Deren/Alexander Hammid,Meshes of the Afternoon,N/A,14,Short,N/A,USA
Tom,Gunning,US,critics,"Region Centrale, La",1971,Michael Snow,La Region Centrale,NOT RATED,180,Documentary,N/A,Canada
Tom,Gunning,US,critics,"Searchers, The",1956,John Ford,The Searchers,APPROVED,119,"Adventure,Drama,Western","English,Navajo,Spanish",USA
Tom,Gunning,US,critics,Sunrise,1927,F. W. Murnau,Sunrise,NOT RATED,94,"Drama,Romance",N/A,USA
Tom,Gunning,US,critics,Ugetsu Monogatari,1953,Mizoguchi Kenji,Ugetsu,APPROVED,96,"Drama,Fantasy,Mystery",Japanese,Japan
Tom,Gunning,US,critics,Vertigo,1958,Alfred Hitchcock,Vertigo,APPROVED,128,"Mystery,Romance,Thriller",English,USA
Tom,Charity,Canada,critics,A.I. Artificial Intelligence,2001,Steven Spielberg,A.I. Artificial Intelligence,PG-13,146,"Adventure,Drama,Sci-Fi",English,USA
Tom,Charity,Canada,critics,Citizen Kane,1941,Orson Welles,Citizen Kane,APPROVED,119,"Drama,Mystery",English,USA
Tom,Charity,Canada,critics,"Crime of Monsieur Lange, The",1935,Jean Renoir,The Crime of Monsieur Lange,N/A,77,"Comedy,Crime,Drama",French,France
Tom,Charity,Canada,critics,"Golden Thread, The",1965,Ritwik Ghatak,The Golden Thread,N/A,143,Drama,Bengali,India
Tom,Charity,Canada,critics,In the City of Sylvia,2007,Jose Luis Guerin,In the City of Sylvia,N/A,84,Drama,"French,Spanish","Spain,France"
Tom,Charity,Canada,critics,La Maman et la putain,1973,Jean Eustache,The Mother and the Whore,N/A,210,"Drama,Romance",French,France
Tom,Charity,Canada,critics,Man with a Movie Camera,1929,Dziga Vertov,Man with a Movie Camera,NOT RATED,68,Documentary,N/A,Soviet Union
Tom,Charity,Canada,critics,Opera Jawa,2006,Garin Nugroho,Requiem from Java,N/A,120,Musical,Indonesian,"Indonesia,Austria"
Tom,Charity,Canada,critics,Profound Desires of the Gods,1968,Imamura Shohei,Profound Desires of the Gods,GP,173,Drama,Japanese,Japan
Tom,Charity,Canada,critics,"Woman Under the Influence, A",1974,John Cassavetes,A Woman Under the Influence,R,155,Drama,"English,Italian",USA
Todd,McCarthy,US,critics,Barry Lyndon,1975,Stanley Kubrick,Barry Lyndon,PG,184,"Adventure,Drama,History","English,German,French","UK,USA,Ireland"
Todd,McCarthy,US,critics,Chimes at Midnight,1966,Orson Welles,Chimes at Midnight,N/A,115,"Comedy,Drama,History",English,"France,Spain,Switzerland"
Todd,McCarthy,US,critics,"Crime of Monsieur Lange, The",1935,Jean Renoir,The Crime of Monsieur Lange,N/A,77,"Comedy,Crime,Drama",French,France
Todd,McCarthy,US,critics,Lawrence of Arabia,1962,David Lean,Lawrence of Arabia,PG,216,"Adventure,Biography,Drama","English,Arabic,Turkish",UK
Todd,McCarthy,US,critics,"Leopard, The",1963,Luchino Visconti,The Leopard,PG,187,"Drama,History","Italian,Latin,French","Italy,France"
Todd,McCarthy,US,critics,"mepris, Le",1963,Jean-Luc Godard,Contempt,NOT RATED,102,Drama,"French,English,German,Italian","France,Italy"
Todd,McCarthy,US,critics,Ruggles of Red Gap,1935,Leo McCarey,Ruggles of Red Gap,NOT RATED,90,"Comedy,Romance","English,French",USA
Todd,McCarthy,US,critics,Shoot the Pianist,1960,Francois Truffaut,Shoot the Pianist,NOT RATED,92,"Crime,Drama,Thriller",French,France
Todd,McCarthy,US,critics,To Have and Have Not,1945,Howard Hawks,To Have and Have Not,NOT RATED,100,"Adventure,Comedy,Romance","English,French",USA
Todd,McCarthy,US,critics,Trouble in Paradise,1932,Ernst Lubitsch,Trouble in Paradise,PASSED,83,"Comedy,Crime,Romance","English,Italian,Russian,Spanish,German",USA
Tobias,Kniebe,Germany,critics,L'Avventura,1960,Michelangelo Antonioni,L'Avventura,NOT RATED,143,"Drama,Mystery","Italian,English","Italy,France"
Tobias,Kniebe,Germany,critics,Breathless,1960,Jean-Luc Godard,Breathless,UNRATED,90,"Crime,Drama,Romance","French,English",France
Tobias,Kniebe,Germany,critics,"Godfather: Part I, The",1972,Francis Ford Coppola,The Godfather,R,175,"Crime,Drama","English,Italian,Latin",USA
Tobias,Kniebe,Germany,critics,"Good, the Bad and the Ugly, The",1966,Sergio Leone,"The Good, the Bad and the Ugly",NOT RATED,161,Western,Italian,"Italy,Spain,West Germany,USA"
Tobias,Kniebe,Germany,critics,In The Mood For Love,2000,Wong Kar Wai,In The Mood For Love,PG,98,"Drama,Romance","Cantonese,Shanghainese,French","Hong Kong,China"
Tobias,Kniebe,Germany,critics,North by Northwest,1959,Alfred Hitchcock,North by Northwest,APPROVED,136,"Adventure,Mystery,Thriller",English,USA
Tobias,Kniebe,Germany,critics,"Party, The",1968,Blake Edwards,The Party,PG,99,Comedy,"English,Italian,Russian,French,Chinese",USA
Tobias,Kniebe,Germany,critics,Taxi Driver,1976,Martin Scorsese,Taxi Driver,R,113,"Crime,Drama","English,Spanish",USA
Tobias,Kniebe,Germany,critics,Terminator II: Judgement Day,1991,James Cameron,Terminator 2: Judgment Day,R,137,"Action,Sci-Fi","English,Spanish","USA,France"
Tobias,Kniebe,Germany,critics,To Have and Have Not,1945,Howard Hawks,To Have and Have Not,NOT RATED,100,"Adventure,Comedy,Romance","English,French",USA
Tim,Wong,New Zealand,critics,7th Heaven,1927,Frank Borzage,7th Heaven,TV-PG,60,"Drama,Family",English,USA
Tim,Wong,New Zealand,critics,"Canterbury Tale, A",1944,Michael Powell/Emeric Pressburger,A Canterbury Tale,NOT RATED,95,"Comedy,Drama,Mystery",English,UK
Tim,Wong,New Zealand,critics,"City of Sadness, A",1989,Hsiao-hsien Hou,A City of Sadness,N/A,157,"Drama,History","Mandarin,Min Nan,Japanese,Cantonese","Hong Kong,Taiwan"
Tim,Wong,New Zealand,critics,Edvard Munch,1976,Peter Watkins,Edvard Munch,N/A,210,"Biography,Drama,Fantasy","French,English,Norwegian,German,Swedish,Danish","Sweden,Norway"
Tim,Wong,New Zealand,critics,Flowing,1956,Naruse Mikio,Flowing,N/A,117,Drama,Japanese,Japan
Tim,Wong,New Zealand,critics,"Intruder, The",2004,Claire Denis,The Intruder,N/A,84,Drama,English,USA
Tim,Wong,New Zealand,critics,"Lady Eve, The",1941,Preston Sturges,The Lady Eve,NOT RATED,94,"Comedy,Romance",English,USA
Tim,Wong,New Zealand,critics,Late Spring,1949,Ozu Yasujiro,Late Spring,NOT RATED,108,Drama,Japanese,Japan
Tim,Wong,New Zealand,critics,Mulholland Dr,2003,David Lynch,Mulholland Dr,N/A,88,"Drama,Mystery,Romance",English,USA
Tim,Wong,New Zealand,critics,Singin' in the Rain,1951,Stanley Donen/Gene Kelly,Singin' in the Rain,APPROVED,103,"Comedy,Musical,Romance",English,USA
Tim,Robey,UK,critics,"Ballad of Narayama, The",1983,Imamura Shohei,The Ballad of Narayama,NOT RATED,130,Drama,Japanese,Japan
Tim,Robey,UK,critics,"Jeanne Dielman, 23 quai du Commerce, 1080 Bruxelles",1975,Chantal Akerman,"Jeanne Dielman, 23 quai du Commerce, 1080 Bruxelles",NOT RATED,201,Drama,French,"Belgium,France"
Tim,Robey,UK,critics,Madame de...,1953,Max Ophuls,The Earrings of Madame de...,APPROVED,105,"Drama,Romance",French,"France,Italy"
Tim,Robey,UK,critics,Mulholland Dr,2003,David Lynch,Mulholland Dr,N/A,88,"Drama,Mystery,Romance",English,USA
Tim,Robey,UK,critics,Persona,1966,Ingmar Bergman,Persona,NOT RATED,83,"Drama,Mystery","Swedish,English",Sweden
Tim,Robey,UK,critics,Psycho,1960,Alfred Hitchcock,Psycho,R,109,"Horror,Mystery,Thriller",English,USA
Tim,Robey,UK,critics,Sansho Dayu,1954,Mizoguchi Kenji,Sansho the Bailiff,NOT RATED,124,Drama,Japanese,Japan
Tim,Robey,UK,critics,"Shining, The",1980,Stanley Kubrick,The Shining,R,146,Horror,English,"USA,UK"
Tim,Robey,UK,critics,Sunrise,1927,F. W. Murnau,Sunrise,NOT RATED,94,"Drama,Romance",N/A,USA
Tim,Robey,UK,critics,"Thin Red Line, The",1998,Terrence Malick,The Thin Red Line,R,170,"Drama,War","English,Tok Pisin,Japanese,Greek",USA
Tim,Lucas,US,critics,Au Hasard Balthazar,1966,Robert Bresson,Au Hasard Balthazar,NOT RATED,95,Drama,"French,Latin","France,Sweden"
Tim,Lucas,US,critics,Barry Lyndon,1975,Stanley Kubrick,Barry Lyndon,PG,184,"Adventure,Drama,History","English,German,French","UK,USA,Ireland"
Tim,Lucas,US,critics,"Devils, The",1971,Ken Russell,The Devils,X,111,"Drama,History","English,Latin",UK
Tim,Lucas,US,critics,L'eclisse,1962,Michelangelo Antonioni,L'eclisse,NOT RATED,126,Drama,"Italian,English","Italy,France"
Tim,Lucas,US,critics,"enfants du paradis, Les",1945,Marcel Carne,Children of Paradise,APPROVED,190,"Drama,Romance",French,France
Tim,Lucas,US,critics,Fanny and Alexander,1984,Ingmar Bergman,Fanny and Alexander,R,188,Drama,"Swedish,German,Yiddish,English","Sweden,France,West Germany"
Tim,Lucas,US,critics,Man on Wire,2007,James Marsh,Man on Wire,PG-13,94,"Documentary,Biography,History","English,French","UK,USA"
Tim,Lucas,US,critics,"Most Important Thing: Love, The",1974,Andrzej Zulawski,That Most Important Thing: Love,R,109,"Drama,Romance",French,"France,Italy,West Germany"
Tim,Lucas,US,critics,Once Upon a Time in the West,1968,Sergio Leone,Once Upon a Time in the West,PG-13,175,Western,"English,Spanish,Italian","Italy,USA,Spain"
Tim,Lucas,US,critics,Three Colours: Red,1994,Krzysztof Kieslowski,Three Colors: Red,R,99,"Drama,Mystery,Romance",French,"France,Switzerland,Poland"
Tim,Smith,UK,critics,2001: A Space Odyssey,1968,Stanley Kubrick,2001: A Space Odyssey,G,160,"Mystery,Sci-Fi","English,Russian","USA,UK"
Tim,Smith,UK,critics,Battleship Potemkin,1925,Sergei M Eisenstein,Battleship Potemkin,UNRATED,66,"History,War",Russian,Soviet Union
Tim,Smith,UK,critics,"Big Lebowski, The",1998,Joel & Ethan Coen,The Big Lebowski,R,117,"Comedy,Crime","English,German,Hebrew,Spanish","USA,UK"
Tim,Smith,UK,critics,Blue Velvet,1986,David Lynch,Blue Velvet,R,120,"Crime,Drama,Mystery",English,USA
Tim,Smith,UK,critics,Chungking Express,1994,Wong Kar Wai,Chungking Express,PG-13,98,"Drama,Mystery,Romance","Cantonese,English,Japanese,Hindi,Mandarin",Hong Kong
Tim,Smith,UK,critics,Citizen Kane,1941,Orson Welles,Citizen Kane,APPROVED,119,"Drama,Mystery",English,USA
Tim,Smith,UK,critics,Man with a Movie Camera,1929,Dziga Vertov,Man with a Movie Camera,NOT RATED,68,Documentary,N/A,Soviet Union
Tim,Smith,UK,critics,Psycho,1960,Alfred Hitchcock,Psycho,R,109,"Horror,Mystery,Thriller",English,USA
Tim,Smith,UK,critics,Pulp Fiction,1994,Quentin Tarantino,Pulp Fiction,R,154,"Crime,Drama","English,Spanish,French",USA
Tim,Smith,UK,critics,Toy Story,1995,John Lasseter,Toy Story,G,81,"Animation,Adventure,Comedy",English,USA
Tim,Highsted,UK,critics,"Battle of Algiers, The",1966,Gillo Pontecorvo,The Battle of Algiers,NOT RATED,121,"Drama,History,War","French,Arabic,English","Italy,Algeria"
Tim,Highsted,UK,critics,"Bitter Tears of Petra von Kant, The",1972,Rainer Werner Fassbinder,The Bitter Tears of Petra von Kant,NOT RATED,124,Drama,German,West Germany
Tim,Highsted,UK,critics,Chungking Express,1994,Wong Kar Wai,Chungking Express,PG-13,98,"Drama,Mystery,Romance","Cantonese,English,Japanese,Hindi,Mandarin",Hong Kong
Tim,Highsted,UK,critics,"enfants du paradis, Les",1945,Marcel Carne,Children of Paradise,APPROVED,190,"Drama,Romance",French,France
Tim,Highsted,UK,critics,King Kong,1933,Merian C. Cooper/Ernest B. Schoedsack,King Kong,PG-13,187,"Action,Adventure,Drama",English,"New Zealand,USA,Germany"
Tim,Highsted,UK,critics,Meet Me In St. Louis,1944,Vincente Minnelli,Meet Me In St. Louis,APPROVED,113,"Comedy,Drama,Family",English,USA
Tim,Highsted,UK,critics,Mildred Pierce,1945,Michael Curtiz,Mildred Pierce,NOT RATED,111,"Crime,Drama,Film-Noir",English,USA
Tim,Highsted,UK,critics,Passion of Joan of Arc,1927,Carl Theodor Dreyer,Passion of Joan of Arc,NOT RATED,114,"Biography,Drama,History",French,France
Tim,Highsted,UK,critics,Rashomon,1950,Akira Kurosawa,Rashomon,UNRATED,88,"Crime,Drama,Mystery",Japanese,Japan
Tim,Highsted,UK,critics,Vertigo,1958,Alfred Hitchcock,Vertigo,APPROVED,128,"Mystery,Romance,Thriller",English,USA
Tim,Grierson,US,critics,2001: A Space Odyssey,1968,Stanley Kubrick,2001: A Space Odyssey,G,160,"Mystery,Sci-Fi","English,Russian","USA,UK"
Tim,Grierson,US,critics,Barry Lyndon,1975,Stanley Kubrick,Barry Lyndon,PG,184,"Adventure,Drama,History","English,German,French","UK,USA,Ireland"
Tim,Grierson,US,critics,"Bicycle Thieves, The",1948,Vittorio de Sica,Bicycle Thieves,NOT RATED,93,Drama,Italian,Italy
Tim,Grierson,US,critics,"dolce vita, La",1960,Federico Fellini,La dolce vita,NOT RATED,174,"Comedy,Drama","Italian,English,French,German","Italy,France"
Tim,Grierson,US,critics,Gimme Shelter,1970,Albert Maysles/David Maysles/Charlotte Zwerin,Gimme Shelter,R,91,"Documentary,Music",English,USA
Tim,Grierson,US,critics,"Godfather: Part I, The",1972,Francis Ford Coppola,The Godfather,R,175,"Crime,Drama","English,Italian,Latin",USA
Tim,Grierson,US,critics,Hoop Dreams,1994,Steve James,Hoop Dreams,PG-13,170,"Documentary,Drama,Sport",English,USA
Tim,Grierson,US,critics,"Jeanne Dielman, 23 quai du Commerce, 1080 Bruxelles",1975,Chantal Akerman,"Jeanne Dielman, 23 quai du Commerce, 1080 Bruxelles",NOT RATED,201,Drama,French,"Belgium,France"
Tim,Grierson,US,critics,Manhattan,1979,Woody Allen,Manhattan,R,96,"Comedy,Drama,Romance",English,USA
Tim,Grierson,US,critics,McCabe and Mrs Miller,1971,Robert Altman,McCabe & Mrs. Miller,R,120,"Drama,Western","English,Cantonese",USA
Tiina,Lokk,Estonia,critics,Amarcord,1972,Federico Fellini,Amarcord,R,123,"Comedy,Drama","Italian,Greek, Ancient (to 1453)","Italy,France"
Tiina,Lokk,Estonia,critics,Andrei Rublev,1966,Andrei Tarkovsky,Andrei Rublev,NOT RATED,205,"Biography,Drama,History","Russian,Italian,Tatar",Soviet Union
Tiina,Lokk,Estonia,critics,Battleship Potemkin,1925,Sergei M Eisenstein,Battleship Potemkin,UNRATED,66,"History,War",Russian,Soviet Union
Tiina,Lokk,Estonia,critics,Citizen Kane,1941,Orson Welles,Citizen Kane,APPROVED,119,"Drama,Mystery",English,USA
Tiina,Lokk,Estonia,critics,"Spring, Summer, Fall, Winter and Spring…",2003,Kim Ki-Duk,"Spring, Summer, Fall, Winter... and Spring",R,103,Drama,Korean,"South Korea,Germany"
Tiina,Lokk,Estonia,critics,"One and a Two, A",1999,Edward Yang,Yi yi,NOT RATED,173,"Drama,Music,Romance","Mandarin,Min Nan,Hokkien,English,Japanese","Taiwan,Japan"
Tiina,Lokk,Estonia,critics,One Flew Over the Cuckoo's Nest,1975,Milos Forman,One Flew Over the Cuckoo's Nest,R,133,Drama,English,USA
Tiina,Lokk,Estonia,critics,Pulp Fiction,1994,Quentin Tarantino,Pulp Fiction,R,154,"Crime,Drama","English,Spanish,French",USA
Tiina,Lokk,Estonia,critics,"Taste of Cherry, The",1997,Abbas Kiarostami,Taste of Cherry,NOT RATED,95,Drama,Persian,"Iran,France"
Tiina,Lokk,Estonia,critics,Zero de Conduite,1933,Jean Vigo,Zero de Conduite,N/A,120,Talk-Show,French,France
Tien-Hsiang,Wen,Taiwan,critics,81/2,1963,Federico Fellini,8 1/2,N/A,UNKNOWN,Crime,N/A,N/A
Tien-Hsiang,Wen,Taiwan,critics,"Bicycle Thieves, The",1948,Vittorio de Sica,Bicycle Thieves,NOT RATED,93,Drama,Italian,Italy
Tien-Hsiang,Wen,Taiwan,critics,City Lights,1931,Charles Chaplin,City Lights,PASSED,87,"Comedy,Drama,Romance",English,USA
Tien-Hsiang,Wen,Taiwan,critics,Mulholland Dr,2003,David Lynch,Mulholland Dr,N/A,88,"Drama,Mystery,Romance",English,USA
Tien-Hsiang,Wen,Taiwan,critics,"Purple Rose of Cairo, The",1985,Woody Allen,The Purple Rose of Cairo,PG,82,"Comedy,Fantasy,Romance",English,USA
Tien-Hsiang,Wen,Taiwan,critics,La Regle du jeu,1939,Jean Renoir,La Regle du jeu,N/A,26,Documentary,French,France
Tien-Hsiang,Wen,Taiwan,critics,"Short Film About Love, A",1988,Krzysztof Kieslowski,A Short Film About Love,NOT RATED,86,"Drama,Romance","Polish,Portuguese",Poland
Tien-Hsiang,Wen,Taiwan,critics,Singin' in the Rain,1951,Stanley Donen/Gene Kelly,Singin' in the Rain,APPROVED,103,"Comedy,Musical,Romance",English,USA
Tien-Hsiang,Wen,Taiwan,critics,"Time to Live and a Time To Die, A",1985,Hsiao-hsien Hou,"A Time to Live, a Time to Die",N/A,138,"Biography,Drama","Mandarin,Hakka",Taiwan
Tien-Hsiang,Wen,Taiwan,critics,Where is My Friend's House?,1989,Abbas Kiarostami,Where is the Friend's Home?,N/A,83,"Drama,Family",Persian,Iran
Tibor,Biro,Hungary,critics,Black Orpheus,1959,Marcel Camus,Black Orpheus,PG,100,"Drama,Music,Romance",Portuguese,"Brazil,France,Italy"
Tibor,Biro,Hungary,critics,Cinema Paradiso,1988,Giuseppe Tornatore,Cinema Paradiso,R,155,"Comedy,Drama","Italian,English,Portuguese","Italy,France"
Tibor,Biro,Hungary,critics,Croupier,1997,Mike Hodges,Croupier,UNRATED,94,"Crime,Drama",English,"France,UK,Germany,Ireland"
Tibor,Biro,Hungary,critics,Easy Rider,1969,Peter Fonda/Dennis Hopper,Easy Rider,R,95,Drama,"English,Spanish",USA
Tibor,Biro,Hungary,critics,"French Connection, The",1971,William Friedkin,The French Connection,R,104,"Action,Crime,Drama","English,French",USA
Tibor,Biro,Hungary,critics,"Godfather: Part I, The",1972,Francis Ford Coppola,The Godfather,R,175,"Crime,Drama","English,Italian,Latin",USA
Tibor,Biro,Hungary,critics,"Lives of Others, The",2006,Florian Henckel von Donnersmarck,The Lives of Others,R,137,"Drama,Thriller",German,Germany
Tibor,Biro,Hungary,critics,Night Falls on Manhattan,1996,Sidney Lumet,Night Falls on Manhattan,R,113,"Crime,Drama",English,USA
Tibor,Biro,Hungary,critics,Once Upon a Time in the West,1968,Sergio Leone,Once Upon a Time in the West,PG-13,175,Western,"English,Spanish,Italian","Italy,USA,Spain"
Tibor,Biro,Hungary,critics,"Truman Show, The",1998,Peter Weir,The Truman Show,PG,103,Drama,English,USA
Thomas,Elsaesser,Netherlands,critics,Blade Runner,1982,Ridley Scott,Blade Runner,R,117,"Sci-Fi,Thriller","English,German,Cantonese,Japanese,Hungarian","USA,Hong Kong,UK"
Thomas,Elsaesser,Netherlands,critics,Citizen Kane,1941,Orson Welles,Citizen Kane,APPROVED,119,"Drama,Mystery",English,USA
Thomas,Elsaesser,Netherlands,critics,"Marriage of Maria Braun, The",1979,Rainer Werner Fassbinder,The Marriage of Maria Braun,R,120,Drama,"German,English",West Germany
Thomas,Elsaesser,Netherlands,critics,Metropolis,1927,Fritz Lang,Metropolis,NOT RATED,153,"Drama,Sci-Fi",German,Germany
Thomas,Elsaesser,Netherlands,critics,Pierrot le Fou,1965,Jean-Luc Godard,Pierrot le Fou,NOT RATED,110,"Crime,Drama,Romance","French,English,Italian","France,Italy"
Thomas,Elsaesser,Netherlands,critics,Pulp Fiction,1994,Quentin Tarantino,Pulp Fiction,R,154,"Crime,Drama","English,Spanish,French",USA
Thomas,Elsaesser,Netherlands,critics,La Regle du jeu,1939,Jean Renoir,La Regle du jeu,N/A,26,Documentary,French,France
Thomas,Elsaesser,Netherlands,critics,"Searchers, The",1956,John Ford,The Searchers,APPROVED,119,"Adventure,Drama,Western","English,Navajo,Spanish",USA
Thomas,Elsaesser,Netherlands,critics,"Taste of Cherry, The",1997,Abbas Kiarostami,Taste of Cherry,NOT RATED,95,Drama,Persian,"Iran,France"
Thomas,Elsaesser,Netherlands,critics,Ugetsu Monogatari,1953,Mizoguchi Kenji,Ugetsu,APPROVED,96,"Drama,Fantasy,Mystery",Japanese,Japan
Thomas,Groh,Germany,critics,2001: A Space Odyssey,1968,Stanley Kubrick,2001: A Space Odyssey,G,160,"Mystery,Sci-Fi","English,Russian","USA,UK"
Thomas,Groh,Germany,critics,Daisies,1966,Vera Chytilova,Daisies,N/A,74,"Comedy,Drama",Czech,Czechoslovakia
Thomas,Groh,Germany,critics,Deadlock,1970,Roland Kick,Deadlock,N/A,85,"Thriller,Western",English,West Germany
Thomas,Groh,Germany,critics,"Enigma of Kaspar Hauser, The",1974,Werner Herzog,The Enigma of Kaspar Hauser,NOT RATED,110,"Biography,Drama,History",German,West Germany
Thomas,Groh,Germany,critics,Eraserhead,1976,David Lynch,Eraserhead,UNRATED,89,"Drama,Horror,Mystery",English,USA
Thomas,Groh,Germany,critics,"Good, the Bad and the Ugly, The",1966,Sergio Leone,"The Good, the Bad and the Ugly",NOT RATED,161,Western,Italian,"Italy,Spain,West Germany,USA"
Thomas,Groh,Germany,critics,"Holy Mountain, The",1973,Alejandro Jodorowsky,The Holy Mountain,R,114,"Drama,Fantasy","English,Spanish,Dutch","Mexico,USA"
Thomas,Groh,Germany,critics,"Page of Madness, A",1926,Teinosuke Kinugasa,A Page of Madness,N/A,70,"Drama,Horror",N/A,Japan
Thomas,Groh,Germany,critics,Sylvie,1973,Klaus Lemke,Sylvie,N/A,86,"Drama,Romance",German,West Germany
Thomas,Groh,Germany,critics,"Texas Chainsaw Massacre, The",1974,Tobe Hooper,The Texas Chainsaw Massacre,R,98,Horror,English,USA
Thomas,Doherty,US,critics,Battleship Potemkin,1925,Sergei M Eisenstein,Battleship Potemkin,UNRATED,66,"History,War",Russian,Soviet Union
Thomas,Doherty,US,critics,"Bicycle Thieves, The",1948,Vittorio de Sica,Bicycle Thieves,NOT RATED,93,Drama,Italian,Italy
Thomas,Doherty,US,critics,"Birth of a Nation, The",1915,D.W. Griffith,The Birth of a Nation,NOT RATED,165,"Drama,History,Romance",N/A,USA
Thomas,Doherty,US,critics,Casablanca,1942,Michael Curtiz,Casablanca,PG,102,"Drama,Romance,War","English,French,German,Italian",USA
Thomas,Doherty,US,critics,Chinatown,1974,Roman Polanski,Chinatown,R,130,"Drama,Mystery,Thriller","English,Cantonese,Spanish",USA
Thomas,Doherty,US,critics,Citizen Kane,1941,Orson Welles,Citizen Kane,APPROVED,119,"Drama,Mystery",English,USA
Thomas,Doherty,US,critics,"General, The",1926,Buster Keaton,The General,UNRATED,67,"Action,Adventure,Comedy",English,USA
Thomas,Doherty,US,critics,"Searchers, The",1956,John Ford,The Searchers,APPROVED,119,"Adventure,Drama,Western","English,Navajo,Spanish",USA
Thomas,Doherty,US,critics,Sunrise,1927,F. W. Murnau,Sunrise,NOT RATED,94,"Drama,Romance",N/A,USA
Thomas,Doherty,US,critics,Vertigo,1958,Alfred Hitchcock,Vertigo,APPROVED,128,"Mystery,Romance,Thriller",English,USA
Thomas,Dawson,UK,critics,Citizen Kane,1941,Orson Welles,Citizen Kane,APPROVED,119,"Drama,Mystery",English,USA
Thomas,Dawson,UK,critics,"enfants du paradis, Les",1945,Marcel Carne,Children of Paradise,APPROVED,190,"Drama,Romance",French,France
Thomas,Dawson,UK,critics,"grande illusion, La",1937,Jean Renoir,La grande illusion,UNRATED,114,"Drama,War","French,German,English,Russian",France
Thomas,Dawson,UK,critics,Journey to Italy,1954,Roberto Rossellini,Journey to Italy,NOT RATED,97,"Drama,Romance","English,Italian","Italy,France"
Thomas,Dawson,UK,critics,Meet Me In St. Louis,1944,Vincente Minnelli,Meet Me In St. Louis,APPROVED,113,"Comedy,Drama,Family",English,USA
Thomas,Dawson,UK,critics,Nashville,1975,Robert Altman,Nashville,R,159,"Drama,Music",English,USA
Thomas,Dawson,UK,critics,Peeping Tom,1960,Michael Powell,Peeping Tom,NOT RATED,101,"Drama,Horror,Thriller",English,UK
Thomas,Dawson,UK,critics,Pickpocket,1959,Robert Bresson,Pickpocket,NOT RATED,75,"Crime,Drama",French,France
Thomas,Dawson,UK,critics,Tokyo Story,1953,Ozu Yasujiro,Tokyo Story,NOT RATED,136,Drama,"Japanese,English",Japan
Thomas,Dawson,UK,critics,Vertigo,1958,Alfred Hitchcock,Vertigo,APPROVED,128,"Mystery,Romance,Thriller",English,USA
Thomas,Beard,US,critics,All That Heaven Allows,1955,Douglas Sirk,All That Heaven Allows,NOT RATED,89,"Drama,Romance",English,USA
Thomas,Beard,US,critics,Bless Their Little Hearts,1983,Billy Woodberry,Bless Their Little Hearts,N/A,80,Drama,English,USA
Thomas,Beard,US,critics,"Fall of the Romanov Dynasty, The",1927,Esfir Shub,The Fall of the Romanov Dynasty,N/A,90,Documentary,N/A,"Soviet Union,USA"
Thomas,Beard,US,critics,Freaks,1932,Tod Browning,Freaks,UNRATED,64,"Drama,Horror","English,German,French",USA
Thomas,Beard,US,critics,Hellzapoppin',1941,H.C. Potter,Hellzapoppin',N/A,84,"Comedy,Musical",English,USA
Thomas,Beard,US,critics,"Region Centrale, La",1971,Michael Snow,La Region Centrale,NOT RATED,180,Documentary,N/A,Canada
Thomas,Beard,US,critics,Satantango,1994,Bela Tarr,Satantango,N/A,450,"Comedy,Drama",Hungarian,"Hungary,Germany,Switzerland"
Thomas,Beard,US,critics,Tih Minh,1918,Louis Feuillade,Tih Minh,N/A,418,N/A,French,France
Thomas,Beard,US,critics,Tropical Malady,2004,Apichatpong Weerasethakul,Tropical Malady,NOT RATED,118,"Drama,Fantasy,Romance",Thai,"Thailand,France,Germany,Italy"
